query_id,LU,SU,alpha,visual_top1_idx,language_top1_idx,first_positive_idx,query_caption,visual_top1_caption,language_top1_caption,positive_caption
202,0.7073694,0.48868525,0.70371026,193,342,174,queries/@0@282@@@@@000282@@@@@@@@.jpg | a view of a train going over a bridge,database/@0@274@@@@@000274@@@@@@@@.jpg | a train going over a bridge on a cloudy day,database/@0@48@@@@@000048@@@@@@@@.jpg | a view of a train going over a bridge,database/@0@257@@@@@000257@@@@@@@@.jpg | a train going down the tracks in the mountains
3,0.7535902,0.9024578,0.16559392,374,371,1,queries/@0@102@@@@@000102@@@@@@@@.jpg | a car driving down a snowy road in the mountains,database/@0@77@@@@@000077@@@@@@@@.jpg | a train traveling down the tracks near a body of water,database/@0@74@@@@@000074@@@@@@@@.jpg | a train traveling down the tracks in the mountains,database/@0@100@@@@@000100@@@@@@@@.jpg | a train traveling down the tracks in the woods
151,0.75679684,0.5764983,0.7089978,142,267,124,queries/@0@236@@@@@000236@@@@@@@@.jpg | a car driving down a snowy road in the mountains,database/@0@228@@@@@000228@@@@@@@@.jpg | a train traveling down the tracks near a forest,database/@0@340@@@@@000340@@@@@@@@.jpg | a train traveling down the tracks in the mountains,database/@0@211@@@@@000211@@@@@@@@.jpg | a view of a train track with cars parked on it
189,0.7730807,0.931829,0.19013074,183,258,161,queries/@0@270@@@@@000270@@@@@@@@.jpg | an image of a black background with white text,database/@0@265@@@@@000265@@@@@@@@.jpg | an image of the moon in the night sky,database/@0@332@@@@@000332@@@@@@@@.jpg | a black background with a white text on it,database/@0@245@@@@@000245@@@@@@@@.jpg | a train traveling down the tracks next to a body of water
338,0.7795346,0.7605964,0.43136546,155,371,110,queries/@0@44@@@@@000044@@@@@@@@.jpg | a train traveling through the snow covered mountains,database/@0@23@@@@@000023@@@@@@@@.jpg | a train traveling down the tracks next to a river,database/@0@74@@@@@000074@@@@@@@@.jpg | a train traveling down the tracks in the mountains,database/@0@19@@@@@000019@@@@@@@@.jpg | a train traveling down the tracks in the woods
185,0.7871623,0.9037481,0.25437137,181,258,158,queries/@0@267@@@@@000267@@@@@@@@.jpg | an image of a black screen with a white text on it,database/@0@263@@@@@000263@@@@@@@@.jpg | an image of a black sky with the moon in the background,database/@0@332@@@@@000332@@@@@@@@.jpg | a black background with a white text on it,database/@0@242@@@@@000242@@@@@@@@.jpg | a train traveling down the tracks next to a body of water
359,0.79334915,0.7144529,0.5751863,335,11,321,queries/@0@63@@@@@000063@@@@@@@@.jpg | a train traveling through the snow covered forest,database/@0@41@@@@@000041@@@@@@@@.jpg | a train traveling down the tracks next to a river,database/@0@10@@@@@000010@@@@@@@@.jpg | a train traveling through a forest filled with trees,database/@0@38@@@@@000038@@@@@@@@.jpg | a train going through a tunnel in a tunnel
385,0.7986151,0.7348398,0.5562691,360,357,1,queries/@0@87@@@@@000087@@@@@@@@.jpg | a train traveling through the snow covered mountains,database/@0@64@@@@@000064@@@@@@@@.jpg | a train traveling down the tracks next to a river,database/@0@61@@@@@000061@@@@@@@@.jpg | a train traveling down the tracks in the mountains,database/@0@100@@@@@000100@@@@@@@@.jpg | a train traveling down the tracks in the woods
175,0.8003613,0.77102244,0.4951095,167,241,148,queries/@0@258@@@@@000258@@@@@@@@.jpg | a view of a snowy road in the mountains,database/@0@250@@@@@000250@@@@@@@@.jpg | a train traveling down the tracks near a lake,database/@0@317@@@@@000317@@@@@@@@.jpg | a train traveling down the tracks in the mountains,database/@0@233@@@@@000233@@@@@@@@.jpg | a train traveling down the tracks in a rural area
395,0.8055594,0.70806575,0.6336106,369,357,1,queries/@0@96@@@@@000096@@@@@@@@.jpg | a train traveling through the snow covered mountains,database/@0@72@@@@@000072@@@@@@@@.jpg | a train traveling down the tracks next to a river,database/@0@61@@@@@000061@@@@@@@@.jpg | a train traveling down the tracks in the mountains,database/@0@100@@@@@000100@@@@@@@@.jpg | a train traveling down the tracks in the woods
193,0.80610186,0.84777725,0.38943198,185,15,165,queries/@0@274@@@@@000274@@@@@@@@.jpg | a train traveling along a snowy mountain side,database/@0@267@@@@@000267@@@@@@@@.jpg | a train traveling down the tracks near a body of water,database/@0@113@@@@@000113@@@@@@@@.jpg | a train traveling down the tracks in the mountains,database/@0@249@@@@@000249@@@@@@@@.jpg | a view from a train window looking down the tracks
