case_id,query_id,n_positive_db_ids,first_positive_db_id,centre_positive_db_id,best_visual_positive_db_id,language_top1_full_db_id,language_top1_within_visual_top10_db_id,query_caption,first_positive_caption,centre_positive_caption,best_visual_positive_caption,language_top1_full_db_caption,language_top1_within_visual_top10_caption,visual_score_first_positive,visual_score_centre_positive,visual_score_best_positive,visual_score_language_top1_full_db,visual_score_language_top1_within_visual_top10,language_score_best_visual_positive,language_score_language_top1_full_db,language_score_language_top1_within_visual_top10,author_corrected_failure_type,author_corrected_notes
1,202,51,174,202,193,342,342,a view of a train going over a bridge,a train going down the tracks in the mountains,a train traveling down the tracks in the countryside,a train going over a bridge on a cloudy day,a view of a train going over a bridge,a view of a train going over a bridge,0.130856767296791,0.1625716984272003,0.4905920326709747,0.2362678945064544,0.2362678945064544,0.837261438369751,1.0000001192092896,1.0000001192092896,A_generic_non_place_discriminative,Captions describe common train/bridge/mountain elements; language match appears visually plausible but not place-specific.
2,3,51,1,28,374,14,371,a car driving down a snowy road in the mountains,a train traveling down the tracks in the woods,a view of a train going down the tracks,a train traveling down the tracks near a body of water,a train traveling down the tracks in the mountains,a train traveling down the tracks in the mountains,0.1002337411046028,0.1858370900154113,0.4216299057006836,0.1177150383591651,0.379539430141449,0.5533404350280762,0.7211897969245911,0.7211897969245911,A_generic_non_place_discriminative,Snowy road/mountain-style captions are generic and do not uniquely identify the location.
3,151,51,124,151,142,14,267,a car driving down a snowy road in the mountains,a view of a train track with cars parked on it,a view from a train window of a train track,a train traveling down the tracks near a forest,a train traveling down the tracks in the mountains,a train traveling down the tracks in the mountains,-0.0194718185812234,0.1060707941651344,0.5320809483528137,0.0574031025171279,0.3008626103401184,0.5780660510063171,0.7211897969245911,0.7211897969245911,A_generic_non_place_discriminative,Similar snowy road/mountain descriptions make the wrong language match plausible but not place-discriminative.
4,189,51,161,189,183,258,258,an image of a black background with white text,a train traveling down the tracks next to a body of water,a train traveling down the tracks next to a body of water,an image of the moon in the night sky,a black background with a white text on it,a black background with a white text on it,0.0061252568848431,0.049128632992506,0.5112590193748474,0.4642331004142761,0.4642331004142761,0.6743671298027039,0.9547337293624878,0.9547337293624878,B_caption_artifact_or_degenerate,"Caption contains black background/white text artifact, so the caption is degenerate rather than a useful place description."
5,338,51,110,338,155,14,371,a train traveling through the snow covered mountains,a train traveling down the tracks in the woods,a black background with a white line on the bottom of the screen,a train traveling down the tracks next to a river,a train traveling down the tracks in the mountains,a train traveling down the tracks in the mountains,0.3676641583442688,0.0709698945283889,0.5955921411514282,0.1381015479564666,0.4329443573951721,0.6807548999786377,0.880088210105896,0.880088210105896,A_generic_non_place_discriminative,Train/snow/mountain descriptions are generic across multiple Nordland scenes.
6,185,51,158,185,181,258,258,an image of a black screen with a white text on it,a train traveling down the tracks next to a body of water,a train traveling down the tracks near a body of water,an image of a black sky with the moon in the background,a black background with a white text on it,a black background with a white text on it,0.0480925627052784,0.0546397902071476,0.6434991955757141,0.6093541979789734,0.6093541979789734,0.6757904887199402,0.8550676107406616,0.8550676107406616,B_caption_artifact_or_degenerate,"Caption contains black screen/white text artifact, indicating a degenerate captioning case."
7,359,51,321,359,335,2,11,a train traveling through the snow covered forest,a train going through a tunnel in a tunnel,a train traveling down the tracks next to a body of water,a train traveling down the tracks next to a river,a train traveling through a forest filled with trees,a train traveling through a forest filled with trees,0.1680031716823578,0.2699944078922272,0.5521975159645081,0.1910683065652847,0.343160480260849,0.6864234209060669,0.9103749990463256,0.9103749990463256,A_generic_non_place_discriminative,Snow-covered mountain/train descriptions are too generic to distinguish the correct place from the wrong match.
8,385,51,1,371,360,14,357,a train traveling through the snow covered mountains,a train traveling down the tracks in the woods,a train traveling down the tracks in the mountains,a train traveling down the tracks next to a river,a train traveling down the tracks in the mountains,a train traveling down the tracks in the mountains,0.1822989583015442,0.1863836944103241,0.4390929043292999,0.1186617314815521,0.311536431312561,0.6807548999786377,0.880088210105896,0.880088210105896,A_generic_non_place_discriminative,Train travelling through snowy mountain scenery is a repeated generic caption pattern.
9,175,51,148,175,167,293,241,a view of a snowy road in the mountains,a train traveling down the tracks in a rural area,a train going under a bridge on the tracks,a train traveling down the tracks near a lake,a view of a train track with mountains in the background,a train traveling down the tracks in the mountains,0.1544946581125259,0.2360812723636627,0.582293689250946,0.2477225214242935,0.4506998658180237,0.5143331289291382,0.7132673263549805,0.6600240468978882,A_generic_non_place_discriminative,Snowy road/mountain wording is not sufficiently place-specific.
10,395,51,1,371,369,392,357,a train traveling through the snow covered mountains,a train traveling down the tracks in the woods,a train traveling down the tracks in the mountains,a train traveling down the tracks next to a river,a train traveling down the tracks in the mountains,a train traveling down the tracks in the mountains,0.1982505917549133,0.2469204515218734,0.467182457447052,0.1275929659605026,0.3187740743160248,0.6807548999786377,0.8800883293151855,0.880088210105896,A_generic_non_place_discriminative,Train/snow/mountain descriptions are visually plausible but too generic for reliable place discrimination.
11,193,51,165,193,185,392,15,a train traveling along a snowy mountain side,a view from a train window looking down the tracks,a train going over a bridge on a cloudy day,a train traveling down the tracks near a body of water,a train traveling down the tracks in the mountains,a train traveling down the tracks in the mountains,0.1859858930110931,0.1123723909258842,0.4089121222496032,0.1890085339546203,0.347221314907074,0.7405706644058228,0.8538262844085693,0.8538261651992798,A_generic_non_place_discriminative,Snowy mountain/train caption pattern is repeated and not distinctive enough for place-level matching.
