query_id,SU,LU,positive_db_indices_first5,visual_top1_idx,language_top1_idx,language_similarity_to_wrong_top1,language_similarity_to_positive,original_query_caption,original_positive_caption,original_visual_top1_caption,original_language_wrong_top1_caption,prompted_query_caption,prompted_positive_caption,prompted_visual_top1_caption,prompted_language_wrong_top1_caption,orig_query_token_count,prompt_query_token_count,orig_positive_token_count,prompt_positive_token_count,orig_wrong_language_token_count,prompt_wrong_language_token_count,orig_query_unique_tokens,prompt_query_unique_tokens,orig_positive_unique_tokens,prompt_positive_unique_tokens,orig_query_vs_wrong_jaccard,prompt_query_vs_wrong_jaccard,orig_query_vs_positive_jaccard,prompt_query_vs_positive_jaccard,query_token_gain_prompt_minus_original,positive_token_gain_prompt_minus_original
142,0.815058708190918,0.8043655157089233,"[115, 116, 117, 118, 119]",132,14,0.8694643974304199,0.6626933813095093,a train traveling down the tracks in the snow,a view of a train track with cars parked on it,a view of a train track from a train window,a train traveling down the tracks in the mountains,A railway track with a curve in the terrain and a building in the background.,A railway track with a curve in the terrain.,A railway track with a mountain in the background.,A railway track with a mountain in the background.,5,6,4,4,5,4,5,6,4,4,0.6666666666666666,0.42857142857142855,0.125,0.6666666666666666,1,0
143,0.7738907933235168,0.8011659383773804,"[116, 117, 118, 119, 120]",135,14,0.8694643974304199,0.6626933813095093,a train traveling down the tracks in the snow,a view of a train track with cars parked on it,a train is traveling down the tracks in a small town,a train traveling down the tracks in the mountains,A mountain road with a red building on the right side.,A railway track with a curve in the terrain and a bridge in the background.,A railway track with a curve in the terrain and a building in the background.,A railway track with a mountain in the background.,5,6,4,6,5,4,5,6,4,6,0.6666666666666666,0.1111111111111111,0.125,0.0,1,2
151,0.5764983296394348,0.7567968368530273,"[124, 125, 126, 127, 128]",142,14,0.7211897969245911,0.5316653251647949,a car driving down a snowy road in the mountains,a view of a train track with cars parked on it,a train traveling down the tracks near a forest,a train traveling down the tracks in the mountains,A mountain road with a hill on the left and a bridge on the right.,A railway track with a curve in the terrain.,"A railway track with a curve in the terrain, hills on the left and right side, and a bridge in the background.",A railway track with a mountain in the background.,6,6,4,4,5,4,6,6,4,4,0.2222222222222222,0.1111111111111111,0.0,0.0,0,0
175,0.7710224390029907,0.8003612756729126,"[148, 149, 150, 151, 152]",167,293,0.7132673263549805,0.5683553218841553,a view of a snowy road in the mountains,a train traveling down the tracks in a rural area,a train traveling down the tracks near a lake,a view of a train track with mountains in the background,A railway track runs through the track corridor that is curved and surrounded by hills and flat land.,"A railway track with a curve in the terrain, hills on the left and right side, and a bridge in the background.",A railway track running through a mountainous area with a body of water nearby.,A railway track running through a mountainous area with a forest on the right side.,3,11,6,10,4,9,3,10,6,10,0.16666666666666666,0.1875,0.0,0.17647058823529413,8,4
185,0.903748095035553,0.7871623039245605,"[158, 159, 160, 161, 162]",181,258,0.8550676107406616,0.4187377095222473,an image of a black screen with a white text on it,a train traveling down the tracks next to a body of water,an image of a black sky with the moon in the background,a black background with a white text on it,A black and white photo of A railway track with a hill on the left side and a bridge on the right side.,"A railway track runs through the track corridor that is curved and surrounded by hills, flat land, and slopes.",A black and white photo of A railway track with a hill on the left side and a bridge on the right side.,A black and white photo of A railway track with a curve in the middle.,4,10,6,12,4,6,4,9,6,11,0.6,0.36363636363636365,0.0,0.1111111111111111,6,6
189,0.9318289756774902,0.7730807065963745,"[161, 162, 163, 164, 165]",183,258,0.9547337293624878,0.45720621943473816,an image of a black background with white text,a train traveling down the tracks next to a body of water,an image of the moon in the night sky,a black background with a white text on it,A black and white photo of A railway track with a hill on the left side and a bridge on the right side.,A railway track runs through the track corridor that is curved and surrounded by hills and flat land.,A black and white photo of A railway track with a hill on the left side and a bridge on the right side.,A black and white photo of A railway track with a curve in the middle.,4,10,6,11,4,6,4,9,6,10,1.0,0.36363636363636365,0.0,0.11764705882352941,6,5
193,0.847777247428894,0.8061018586158752,"[165, 167, 168, 169, 170]",185,392,0.8538262844085693,0.6652482748031616,a train traveling along a snowy mountain side,a view from a train window looking down the tracks,a train traveling down the tracks near a body of water,a train traveling down the tracks in the mountains,A railway track with a curve in the terrain and a bridge in the background.,A railway track running through a mountainous area with trees on the sides.,A railway track runs through the track corridor that is curved and surrounded by hills and vegetation.,"A railway track with a curve in the middle, surrounded by hills and a tunnel.",6,6,5,8,5,7,6,6,5,8,0.2222222222222222,0.3,0.1,0.16666666666666666,0,3
202,0.4886852502822876,0.7073693871498108,"[174, 175, 176, 178, 179]",193,342,1.0000001192092896,0.6579362154006958,a view of a train going over a bridge,a train going down the tracks in the mountains,a train going over a bridge on a cloudy day,a view of a train going over a bridge,A railway track with a bridge and a mountain in the background.,A railway track with a bridge and a tunnel in the background.,A railway bridge over A railway track with a hill in the background.,A railway track runs through the track corridor that is curved and surrounded by hills and vegetation.,3,5,5,5,3,10,3,5,5,5,1.0,0.16666666666666666,0.3333333333333333,0.6666666666666666,2,0
338,0.7605963945388794,0.7795345783233643,"[110, 122, 133, 144, 155]",155,14,0.880088210105896,0.740999698638916,a train traveling through the snow covered mountains,a train traveling down the tracks in the woods,a train traveling down the tracks next to a river,a train traveling down the tracks in the mountains,A railway track with a curve in the terrain and a bridge in the background.,"A railway track runs through the track corridor that is curving around a hillside, with a forest nearby.","A railway track with a curve in the terrain, surrounded by hills and a body of water.",A railway track with a mountain in the background.,6,6,5,11,5,4,6,6,5,10,0.375,0.42857142857142855,0.2222222222222222,0.14285714285714285,0,6
348,0.8996759653091431,0.7804413437843323,"[210, 221, 233, 244, 255]",369,8,0.9067214131355286,0.6823320984840393,a train is traveling through the snow covered forest,a train traveling down the tracks next to a river,a train traveling down the tracks next to a river,a train traveling through a forest filled with trees,A railway track with a curve in the terrain.,"A railway track runs through the track corridor that is surrounded by hills, a lake, and trees.",A railway track with a hill on the left and a forest on the right.,"A railway track with a curve in the terrain, surrounded by trees and hills.",6,4,5,10,6,7,6,4,5,9,0.5,0.5714285714285714,0.2222222222222222,0.18181818181818182,-2,5
