dataset,method,backbone,descriptors_dim,R@1,R@5,R@10,device,image_size,fusion_type,alpha,tau,notes
amstertime,CosPlace-reference,ResNet18,512,33.6,53.1,60.9,CPU,320x320,visual_only,,,"Reference only — confirms pipeline works. Not primary backbone."
amstertime,EigenPlaces,ResNet50,2048,43.4,63.4,70.2,CPU,320x320,visual_only,,,"Baseline B1 — official 4TU zip + gmberton synthetic UTM labels. 320x320 configuration consistent across all methods."
amstertime,Fixed-Fusion,EigenPlaces+BGE-large,2048+1024,43.6,65.8,73.4,CPU,320x320,fixed,0.5,,"Baseline B2 — manual fixed fusion alpha=0.5. EigenPlaces visual similarity plus BGE-large language similarity using LaVPR AmsterTime descriptions."
amstertime,Confidence-Gated-Top10,EigenPlaces+BGE-large+SU,2048+1024,43.2,63.8,70.2,CPU,320x320,confidence_gated_top10,dynamic,1.0,"Primary method result — SU-based confidence-gated top-10 reranking with language threshold=0.05. Language active for 401/1231 queries. Paired bootstrap: -3 queries vs B1, 95% CI [-1.38, +0.89pp], not statistically meaningful."
amstertime,Confidence-Gated-Full,EigenPlaces+BGE-large+SU,2048+1024,43.5,63.8,70.5,CPU,320x320,confidence_gated_full,dynamic,1.0,"Full-database fusion variant — SU-based confidence-gated fusion with tau=1.0 and language threshold=0.05. Language active for 401/1231 queries. Exactly matches B1 R@1 query count."

msls_val,EigenPlaces,ResNet50,2048,84.9,90.9,92.8,GPU,320x320,visual_only,,,"Baseline B1 — MSLS-val with 740 LaVPR queries and 18871 database images. EigenPlaces visual-only."
msls_val,Fixed-Fusion,EigenPlaces+BGE-large,2048+1024,84.5,91.5,93.2,GPU,320x320,fixed,0.5,,"Baseline B2 — manual fixed fusion alpha=0.5. EigenPlaces visual similarity plus BGE-large language similarity using LaVPR MSLS-val descriptions."
msls_val,Confidence-Gated-Top10,EigenPlaces+BGE-large+SU,2048+1024,85.1,91.1,92.8,GPU/CPU,320x320,confidence_gated_top10,dynamic,1.0,"Primary method result — SU-based confidence-gated top-10 reranking with language threshold=0.05. Language active for 205/740 queries. Best R@1 result on MSLS-val."
msls_val,Confidence-Gated-Full,EigenPlaces+BGE-large+SU,2048+1024,85.0,90.9,92.7,GPU/CPU,320x320,confidence_gated_full,dynamic,1.0,"Full-database fusion variant — SU-based confidence-gated fusion with tau=1.0 and language threshold=0.05. Language active for 205/740 queries."
msls_val,Tau-ablation-0.5,EigenPlaces+BGE-large+SU,2048+1024,85.1,91.1,92.8,GPU/CPU,320x320,confidence_gated_top10,dynamic,0.5,"Tau ablation on MSLS-val — top-10 reranking. Mean alpha=0.893, language active for 205/740 queries."
msls_val,Tau-ablation-1.0,EigenPlaces+BGE-large+SU,2048+1024,85.1,91.1,92.8,GPU/CPU,320x320,confidence_gated_top10,dynamic,1.0,"Tau ablation on MSLS-val — top-10 reranking. Same as primary setting. Mean alpha=0.885, language active for 205/740 queries."
msls_val,Tau-ablation-2.0,EigenPlaces+BGE-large+SU,2048+1024,85.0,91.1,92.8,GPU/CPU,320x320,confidence_gated_top10,dynamic,2.0,"Tau ablation on MSLS-val — top-10 reranking. Mean alpha=0.875, language active for 205/740 queries."

nordland_clean,EigenPlaces,ResNet50,2048,52.8,76.2,87.8,CPU,320x320,visual_only,,,"Baseline B1 — Nordland-clean 400 aligned summer-winter pairs. Summer database start index 1900, winter query start index 2000. Synthetic coordinate spacing 1m, so auto_VPR 25m threshold corresponds to ±25 sampled frames."
nordland_clean,Fixed-Fusion,EigenPlaces+BGE-large,2048+1024,45.8,75.0,83.8,CPU,320x320,fixed,0.5,,"Baseline B2 — manual fixed fusion alpha=0.5. EigenPlaces visual similarity plus BGE-large language similarity. BLIP captions were generic/noisy on winter railway scenes, causing a -7.0pp R@1 drop vs B1."
nordland_clean,Confidence-Gated-Top10,EigenPlaces+BGE-large+SU,2048+1024,53.0,76.0,87.8,CPU,320x320,confidence_gated_top10,dynamic,1.0,"Primary method result — SU-based confidence-gated top-10 reranking with language threshold=0.05. Language active for 165/400 queries. Recovers the fixed-fusion degradation and achieves +7.2pp R@1 vs B2."
nordland_clean,Confidence-Gated-Full,EigenPlaces+BGE-large+SU,2048+1024,52.2,74.5,85.0,CPU,320x320,confidence_gated_full,dynamic,1.0,"Full-database fusion variant — SU-based confidence-gated fusion with tau=1.0 and language threshold=0.05. Language active for 165/400 queries."
nordland_clean,Prompted-Captions-Top10,EigenPlaces+BGE-large+SU,2048+1024,51.5,78.0,87.8,GPU/CPU,320x320,confidence_gated_top10,dynamic,1.0,"Exploratory railway-specific prompted-caption variant. Removed obvious caption hallucinations and improved R@5, but reduced R@1 compared with the original gated result. Not used as primary result."
