case_id,query_id,visual_top1_idx,language_top1_idx,first_positive_idx,query_caption,visual_top1_caption,language_top1_caption,positive_caption,second_annotator_failure_type,second_annotator_confidence_1_to_3,second_annotator_notes
1,202,193,342,174,queries/@0@282@@@@@000282@@@@@@@@.jpg | a view of a train going over a bridge,database/@0@274@@@@@000274@@@@@@@@.jpg | a train going over a bridge on a cloudy day,database/@0@48@@@@@000048@@@@@@@@.jpg | a view of a train going over a bridge,database/@0@257@@@@@000257@@@@@@@@.jpg | a train going down the tracks in the mountains,,,
2,3,374,371,1,queries/@0@102@@@@@000102@@@@@@@@.jpg | a car driving down a snowy road in the mountains,database/@0@77@@@@@000077@@@@@@@@.jpg | a train traveling down the tracks near a body of water,database/@0@74@@@@@000074@@@@@@@@.jpg | a train traveling down the tracks in the mountains,database/@0@100@@@@@000100@@@@@@@@.jpg | a train traveling down the tracks in the woods,,,
3,151,142,267,124,queries/@0@236@@@@@000236@@@@@@@@.jpg | a car driving down a snowy road in the mountains,database/@0@228@@@@@000228@@@@@@@@.jpg | a train traveling down the tracks near a forest,database/@0@340@@@@@000340@@@@@@@@.jpg | a train traveling down the tracks in the mountains,database/@0@211@@@@@000211@@@@@@@@.jpg | a view of a train track with cars parked on it,,,
4,189,183,258,161,queries/@0@270@@@@@000270@@@@@@@@.jpg | an image of a black background with white text,database/@0@265@@@@@000265@@@@@@@@.jpg | an image of the moon in the night sky,database/@0@332@@@@@000332@@@@@@@@.jpg | a black background with a white text on it,database/@0@245@@@@@000245@@@@@@@@.jpg | a train traveling down the tracks next to a body of water,,,
5,338,155,371,110,queries/@0@44@@@@@000044@@@@@@@@.jpg | a train traveling through the snow covered mountains,database/@0@23@@@@@000023@@@@@@@@.jpg | a train traveling down the tracks next to a river,database/@0@74@@@@@000074@@@@@@@@.jpg | a train traveling down the tracks in the mountains,database/@0@19@@@@@000019@@@@@@@@.jpg | a train traveling down the tracks in the woods,,,
6,185,181,258,158,queries/@0@267@@@@@000267@@@@@@@@.jpg | an image of a black screen with a white text on it,database/@0@263@@@@@000263@@@@@@@@.jpg | an image of a black sky with the moon in the background,database/@0@332@@@@@000332@@@@@@@@.jpg | a black background with a white text on it,database/@0@242@@@@@000242@@@@@@@@.jpg | a train traveling down the tracks next to a body of water,,,
7,359,335,11,321,queries/@0@63@@@@@000063@@@@@@@@.jpg | a train traveling through the snow covered forest,database/@0@41@@@@@000041@@@@@@@@.jpg | a train traveling down the tracks next to a river,database/@0@10@@@@@000010@@@@@@@@.jpg | a train traveling through a forest filled with trees,database/@0@38@@@@@000038@@@@@@@@.jpg | a train going through a tunnel in a tunnel,,,
8,385,360,357,1,queries/@0@87@@@@@000087@@@@@@@@.jpg | a train traveling through the snow covered mountains,database/@0@64@@@@@000064@@@@@@@@.jpg | a train traveling down the tracks next to a river,database/@0@61@@@@@000061@@@@@@@@.jpg | a train traveling down the tracks in the mountains,database/@0@100@@@@@000100@@@@@@@@.jpg | a train traveling down the tracks in the woods,,,
9,175,167,241,148,queries/@0@258@@@@@000258@@@@@@@@.jpg | a view of a snowy road in the mountains,database/@0@250@@@@@000250@@@@@@@@.jpg | a train traveling down the tracks near a lake,database/@0@317@@@@@000317@@@@@@@@.jpg | a train traveling down the tracks in the mountains,database/@0@233@@@@@000233@@@@@@@@.jpg | a train traveling down the tracks in a rural area,,,
10,395,369,357,1,queries/@0@96@@@@@000096@@@@@@@@.jpg | a train traveling through the snow covered mountains,database/@0@72@@@@@000072@@@@@@@@.jpg | a train traveling down the tracks next to a river,database/@0@61@@@@@000061@@@@@@@@.jpg | a train traveling down the tracks in the mountains,database/@0@100@@@@@000100@@@@@@@@.jpg | a train traveling down the tracks in the woods,,,
11,193,185,15,165,queries/@0@274@@@@@000274@@@@@@@@.jpg | a train traveling along a snowy mountain side,database/@0@267@@@@@000267@@@@@@@@.jpg | a train traveling down the tracks near a body of water,database/@0@113@@@@@000113@@@@@@@@.jpg | a train traveling down the tracks in the mountains,database/@0@249@@@@@000249@@@@@@@@.jpg | a view from a train window looking down the tracks,,,
